product_id,product_type,product_name,price,is_active,species_id,goods_category_id,description
1,PET,ブルドッグ,280000,True,1,,がっしりした体格で人懐っこい犬種
2,PET,チワワ,220000,True,1,,小型で活発、室内飼いに人気の犬種
3,PET,柴犬,180000,True,1,,日本原産の代表的な犬種
4,PET,マンチカン,200000,True,2,,短い脚が特徴の人気猫種
5,PET,スコティッシュフォールド,190000,True,2,,折れ耳が特徴のおっとりした猫種
6,PET,アメリカンショートヘア,150000,True,2,,丈夫で穏やかな性格の猫種
7,PET,セキセイインコ,8000,True,3,,カラフルで人に慣れやすい小型インコ
8,PET,オカメインコ,15000,True,3,,冠羽が特徴の人懐っこいインコ
9,PET,ジュウシマツ,5000,True,3,,飼育しやすい小型の鳴き鳥
10,PET,メダカ,200,True,4,,丈夫で飼育しやすい淡水魚
11,PET,グッピー,500,True,4,,カラフルな尾びれが特徴の熱帯魚
12,PET,ネオンテトラ,300,True,4,,群泳が美しい小型熱帯魚
13,PET,フトアゴヒゲトカゲ,45000,True,5,,温和な性格で人気の爬虫類
14,PET,ヒョウモントカゲモドキ,35000,True,5,,飼育しやすい人気のヤモリ
15,PET,ミシシッピアカミミガメ,3000,True,5,,丈夫で長寿命の水棲ガメ
16,GOODS,ドッグフード(成犬用),3500,True,1,1,
17,GOODS,犬用ケージ,12000,True,1,2,
18,GOODS,犬用ボール,800,True,1,3,
19,GOODS,キャットフード,2800,True,2,1,
20,GOODS,猫用キャットタワー,15000,True,2,2,
21,GOODS,猫じゃらし,600,True,2,3,
22,GOODS,小鳥用シード,900,True,3,1,
23,GOODS,鳥かご,8000,True,3,2,
24,GOODS,バードトーイ,700,True,3,3,
25,GOODS,熱帯魚用フレークフード,500,True,4,1,
26,GOODS,水槽セット,6000,True,4,2,
27,GOODS,水草オーナメント,1200,True,4,3,
28,GOODS,爬虫類用人工飼料,1500,True,5,1,
29,GOODS,爬虫類用ケージ,20000,True,5,2,
30,GOODS,シェルター(隠れ家),2500,True,5,3,
