sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
190,91,11,1,500,500,2026-07-18 05:44:23,2026-07-18 05:44:23
191,91,7,1,8000,8000,2026-07-18 05:44:23,2026-07-18 05:51:23
192,91,22,3,900,2700,2026-07-18 05:44:23,2026-07-18 05:50:23
193,92,17,2,12000,24000,2026-07-18 22:32:24,2026-07-18 22:54:24
194,92,16,1,3500,3500,2026-07-18 22:32:24,2026-07-18 22:39:24
195,93,14,1,35000,35000,2026-07-18 11:28:37,2026-07-18 12:01:37
196,93,27,1,1200,1200,2026-07-18 11:28:37,2026-07-18 12:11:37
197,93,9,1,5000,5000,2026-07-18 11:28:37,2026-07-18 12:15:37
198,94,25,3,500,1500,2026-07-18 17:50:31,2026-07-18 18:03:31
199,94,5,1,190000,190000,2026-07-18 17:50:31,2026-07-18 17:59:31
200,95,24,2,700,1400,2026-07-18 08:55:54,2026-07-18 09:10:54
201,96,14,1,35000,35000,2026-07-18 23:10:35,2026-07-18 23:28:35
202,96,18,1,800,800,2026-07-18 23:10:35,2026-07-18 23:13:35
203,96,1,1,280000,280000,2026-07-18 23:10:35,2026-07-18 23:57:35
204,97,29,1,20000,20000,2026-07-18 11:43:33,2026-07-18 11:55:33
205,97,5,1,190000,190000,2026-07-18 11:43:33,2026-07-18 11:47:33
206,97,18,2,800,1600,2026-07-18 11:43:33,2026-07-18 12:32:33
