sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
207,98,14,1,35000,35000,2026-07-19 18:29:42,2026-07-19 18:58:42
208,99,10,1,200,200,2026-07-19 06:20:01,2026-07-19 06:42:01
209,100,29,2,20000,40000,2026-07-19 10:04:48,2026-07-19 10:08:48
210,101,8,1,15000,15000,2026-07-19 19:30:41,2026-07-19 19:32:41
211,101,22,2,900,1800,2026-07-19 19:30:41,2026-07-19 20:16:41
212,101,4,1,200000,200000,2026-07-19 19:30:41,2026-07-19 19:47:41
213,102,29,3,20000,60000,2026-07-19 16:51:40,2026-07-19 17:08:40
214,102,28,3,1500,4500,2026-07-19 16:51:40,2026-07-19 17:01:40
215,102,14,1,35000,35000,2026-07-19 16:51:40,2026-07-19 17:26:40
216,103,28,1,1500,1500,2026-07-19 07:38:24,2026-07-19 07:40:24
217,104,29,2,20000,40000,2026-07-19 10:34:26,2026-07-19 10:34:26
