sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
91,45,16,2,3500,7000,2026-07-09 00:03:16,2026-07-09 01:02:16
92,45,18,3,800,2400,2026-07-09 00:03:16,2026-07-09 00:33:16
93,45,6,1,150000,150000,2026-07-09 00:03:16,2026-07-09 00:28:16
94,46,14,1,35000,35000,2026-07-09 08:05:05,2026-07-09 09:00:05
95,46,7,1,8000,8000,2026-07-09 08:05:05,2026-07-09 08:05:05
96,46,30,3,2500,7500,2026-07-09 08:05:05,2026-07-09 08:16:05
97,47,23,2,8000,16000,2026-07-09 07:38:34,2026-07-09 07:39:34
98,47,7,1,8000,8000,2026-07-09 07:38:34,2026-07-09 07:59:34
99,47,10,1,200,200,2026-07-09 07:38:34,2026-07-09 07:52:34
100,48,12,1,300,300,2026-07-09 13:56:59,2026-07-09 14:23:59
101,48,15,1,3000,3000,2026-07-09 13:56:59,2026-07-09 14:35:59
102,48,29,3,20000,60000,2026-07-09 13:56:59,2026-07-09 14:52:59
