sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
330,156,20,3,15000,45000,2026-07-30 19:45:55,2026-07-30 19:52:55
331,157,19,1,2800,2800,2026-07-30 02:51:52,2026-07-30 03:24:52
332,157,22,1,900,900,2026-07-30 02:51:52,2026-07-30 03:34:52
333,158,5,1,190000,190000,2026-07-30 12:21:15,2026-07-30 12:50:15
334,158,28,2,1500,3000,2026-07-30 12:21:15,2026-07-30 13:20:15
335,159,9,1,5000,5000,2026-07-30 21:59:47,2026-07-30 22:25:47
336,160,7,1,8000,8000,2026-07-30 13:05:22,2026-07-30 13:08:22
337,160,15,1,3000,3000,2026-07-30 13:05:22,2026-07-30 13:21:22
338,161,25,2,500,1000,2026-07-30 20:26:34,2026-07-30 21:06:34
339,161,29,2,20000,40000,2026-07-30 20:26:34,2026-07-30 20:41:34
