sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
124,59,21,2,600,1200,2026-07-12 23:29:38,2026-07-13 00:24:38
125,59,4,1,200000,200000,2026-07-12 23:29:38,2026-07-12 23:56:38
126,59,2,1,220000,220000,2026-07-12 23:29:38,2026-07-12 23:35:38
127,60,26,1,6000,6000,2026-07-12 05:42:54,2026-07-12 06:15:54
128,60,28,1,1500,1500,2026-07-12 05:42:54,2026-07-12 06:37:54
129,61,18,2,800,1600,2026-07-12 10:14:43,2026-07-12 10:47:43
130,62,6,1,150000,150000,2026-07-12 05:22:42,2026-07-12 05:30:42
131,62,9,1,5000,5000,2026-07-12 05:22:42,2026-07-12 05:52:42
132,63,28,1,1500,1500,2026-07-12 00:31:19,2026-07-12 00:41:19
133,64,4,1,200000,200000,2026-07-12 08:00:42,2026-07-12 08:04:42
134,64,2,1,220000,220000,2026-07-12 08:00:42,2026-07-12 08:23:42
135,64,21,3,600,1800,2026-07-12 08:00:42,2026-07-12 08:04:42
136,65,3,1,180000,180000,2026-07-12 13:33:22,2026-07-12 14:10:22
137,66,6,1,150000,150000,2026-07-12 21:01:44,2026-07-12 21:20:44
