sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
272,128,17,3,12000,36000,2026-07-25 05:50:16,2026-07-25 06:46:16
273,128,22,3,900,2700,2026-07-25 05:50:16,2026-07-25 06:27:16
274,129,27,1,1200,1200,2026-07-25 06:58:50,2026-07-25 07:17:50
275,130,8,1,15000,15000,2026-07-25 14:17:31,2026-07-25 15:10:31
276,130,26,1,6000,6000,2026-07-25 14:17:31,2026-07-25 14:18:31
277,131,2,1,220000,220000,2026-07-25 02:15:48,2026-07-25 02:29:48
278,132,20,1,15000,15000,2026-07-25 03:56:35,2026-07-25 04:52:35
279,132,28,2,1500,3000,2026-07-25 03:56:35,2026-07-25 04:07:35
280,133,19,3,2800,8400,2026-07-25 16:18:35,2026-07-25 17:12:35
281,133,7,1,8000,8000,2026-07-25 16:18:35,2026-07-25 16:34:35
282,133,23,2,8000,16000,2026-07-25 16:18:35,2026-07-25 16:52:35
283,134,8,1,15000,15000,2026-07-25 07:35:28,2026-07-25 08:21:28
284,134,5,1,190000,190000,2026-07-25 07:35:28,2026-07-25 07:49:28
285,135,1,1,280000,280000,2026-07-25 13:41:42,2026-07-25 13:52:42
286,135,29,1,20000,20000,2026-07-25 13:41:42,2026-07-25 14:01:42
287,135,25,2,500,1000,2026-07-25 13:41:42,2026-07-25 13:58:42
