sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
1,1,24,2,700,1400,2026-07-01 16:03:20,2026-07-01 16:58:20
2,2,5,1,190000,190000,2026-07-01 22:03:13,2026-07-01 22:22:13
3,3,22,3,900,2700,2026-07-01 20:38:08,2026-07-01 21:06:08
4,4,3,1,180000,180000,2026-07-01 01:59:18,2026-07-01 02:25:18
5,4,19,1,2800,2800,2026-07-01 01:59:18,2026-07-01 02:16:18
6,4,14,1,35000,35000,2026-07-01 01:59:18,2026-07-01 02:13:18
7,5,7,1,8000,8000,2026-07-01 18:28:44,2026-07-01 18:42:44
8,6,20,1,15000,15000,2026-07-01 06:50:28,2026-07-01 07:28:28
9,6,1,1,280000,280000,2026-07-01 06:50:28,2026-07-01 07:33:28
10,6,18,3,800,2400,2026-07-01 06:50:28,2026-07-01 07:45:28
11,7,18,2,800,1600,2026-07-01 21:57:11,2026-07-01 22:09:11
12,7,14,1,35000,35000,2026-07-01 21:57:11,2026-07-01 22:08:11
13,7,8,1,15000,15000,2026-07-01 21:57:11,2026-07-01 22:44:11
14,8,26,1,6000,6000,2026-07-01 09:43:14,2026-07-01 10:23:14
15,8,28,1,1500,1500,2026-07-01 09:43:14,2026-07-01 09:44:14
