sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
296,140,15,1,3000,3000,2026-07-27 20:00:54,2026-07-27 20:04:54
297,140,29,3,20000,60000,2026-07-27 20:00:54,2026-07-27 20:55:54
298,140,6,1,150000,150000,2026-07-27 20:00:54,2026-07-27 20:25:54
299,141,15,1,3000,3000,2026-07-27 06:45:27,2026-07-27 07:42:27
300,141,9,1,5000,5000,2026-07-27 06:45:27,2026-07-27 06:51:27
301,142,27,3,1200,3600,2026-07-27 03:10:01,2026-07-27 03:28:01
302,143,16,2,3500,7000,2026-07-27 23:13:18,2026-07-27 23:32:18
303,143,21,2,600,1200,2026-07-27 23:13:18,2026-07-27 23:34:18
304,143,8,1,15000,15000,2026-07-27 23:13:18,2026-07-27 23:34:18
305,144,10,1,200,200,2026-07-27 14:23:41,2026-07-27 14:36:41
306,144,8,1,15000,15000,2026-07-27 14:23:41,2026-07-27 14:40:41
307,144,9,1,5000,5000,2026-07-27 14:23:41,2026-07-27 14:52:41
308,145,29,1,20000,20000,2026-07-27 13:12:39,2026-07-27 13:35:39
309,145,18,1,800,800,2026-07-27 13:12:39,2026-07-27 13:37:39
