sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
40,21,6,1,150000,150000,2026-07-04 02:46:28,2026-07-04 02:47:28
41,22,9,1,5000,5000,2026-07-04 15:04:15,2026-07-04 15:38:15
42,22,30,3,2500,7500,2026-07-04 15:04:15,2026-07-04 15:55:15
43,23,8,1,15000,15000,2026-07-04 04:17:45,2026-07-04 04:32:45
44,23,22,1,900,900,2026-07-04 04:17:45,2026-07-04 04:33:45
45,23,11,1,500,500,2026-07-04 04:17:45,2026-07-04 04:59:45
46,24,26,2,6000,12000,2026-07-04 03:25:36,2026-07-04 04:02:36
47,25,3,1,180000,180000,2026-07-04 18:15:01,2026-07-04 18:51:01
48,25,7,1,8000,8000,2026-07-04 18:15:01,2026-07-04 18:34:01
49,26,29,1,20000,20000,2026-07-04 23:37:01,2026-07-05 00:29:01
50,26,23,3,8000,24000,2026-07-04 23:37:01,2026-07-05 00:28:01
51,26,11,1,500,500,2026-07-04 23:37:01,2026-07-05 00:13:01
52,27,29,3,20000,60000,2026-07-04 05:50:19,2026-07-04 06:27:19
53,27,30,2,2500,5000,2026-07-04 05:50:19,2026-07-04 05:57:19
