sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
71,36,11,1,500,500,2026-07-07 20:06:51,2026-07-07 20:08:51
72,36,4,1,200000,200000,2026-07-07 20:06:51,2026-07-07 20:18:51
73,36,10,1,200,200,2026-07-07 20:06:51,2026-07-07 20:58:51
74,37,15,1,3000,3000,2026-07-07 01:34:19,2026-07-07 01:52:19
75,38,29,3,20000,60000,2026-07-07 19:40:17,2026-07-07 20:22:17
76,38,24,1,700,700,2026-07-07 19:40:17,2026-07-07 20:30:17
77,38,9,1,5000,5000,2026-07-07 19:40:17,2026-07-07 20:17:17
78,39,28,3,1500,4500,2026-07-07 10:48:09,2026-07-07 11:28:09
79,40,17,1,12000,12000,2026-07-07 11:10:31,2026-07-07 11:23:31
80,40,20,2,15000,30000,2026-07-07 11:10:31,2026-07-07 11:21:31
81,40,7,1,8000,8000,2026-07-07 11:10:31,2026-07-07 11:58:31
