sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
103,49,8,1,15000,15000,2026-07-10 07:51:40,2026-07-10 08:13:40
104,50,1,1,280000,280000,2026-07-10 04:04:22,2026-07-10 04:34:22
105,50,19,3,2800,8400,2026-07-10 04:04:22,2026-07-10 05:01:22
106,51,8,1,15000,15000,2026-07-10 11:28:57,2026-07-10 11:35:57
107,51,1,1,280000,280000,2026-07-10 11:28:57,2026-07-10 11:48:57
108,51,3,1,180000,180000,2026-07-10 11:28:57,2026-07-10 12:23:57
109,52,2,1,220000,220000,2026-07-10 12:52:43,2026-07-10 13:49:43
110,52,8,1,15000,15000,2026-07-10 12:52:43,2026-07-10 13:06:43
111,52,3,1,180000,180000,2026-07-10 12:52:43,2026-07-10 13:10:43
112,53,28,2,1500,3000,2026-07-10 11:40:21,2026-07-10 12:40:21
113,54,8,1,15000,15000,2026-07-10 12:03:04,2026-07-10 12:52:04
114,54,9,1,5000,5000,2026-07-10 12:03:04,2026-07-10 12:08:04
115,54,22,2,900,1800,2026-07-10 12:03:04,2026-07-10 12:10:04
