sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
138,67,7,1,8000,8000,2026-07-13 12:26:03,2026-07-13 13:16:03
139,67,28,2,1500,3000,2026-07-13 12:26:03,2026-07-13 13:14:03
140,68,6,1,150000,150000,2026-07-13 19:07:58,2026-07-13 19:18:58
141,69,13,1,45000,45000,2026-07-13 22:28:33,2026-07-13 23:07:33
142,70,10,1,200,200,2026-07-13 12:35:39,2026-07-13 13:26:39
143,70,14,1,35000,35000,2026-07-13 12:35:39,2026-07-13 13:06:39
144,71,26,3,6000,18000,2026-07-13 03:08:39,2026-07-13 03:56:39
145,71,18,2,800,1600,2026-07-13 03:08:39,2026-07-13 03:27:39
146,71,22,1,900,900,2026-07-13 03:08:39,2026-07-13 03:43:39
147,72,7,1,8000,8000,2026-07-13 00:38:46,2026-07-13 00:47:46
148,72,2,1,220000,220000,2026-07-13 00:38:46,2026-07-13 01:24:46
