sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
54,28,8,1,15000,15000,2026-07-05 03:04:56,2026-07-05 03:11:56
55,29,18,3,800,2400,2026-07-05 18:36:19,2026-07-05 19:15:19
56,29,9,1,5000,5000,2026-07-05 18:36:19,2026-07-05 18:48:19
57,29,24,2,700,1400,2026-07-05 18:36:19,2026-07-05 19:12:19
58,30,13,1,45000,45000,2026-07-05 13:34:16,2026-07-05 13:55:16
59,30,12,1,300,300,2026-07-05 13:34:16,2026-07-05 13:37:16
60,30,8,1,15000,15000,2026-07-05 13:34:16,2026-07-05 14:17:16
61,31,16,1,3500,3500,2026-07-05 13:43:13,2026-07-05 14:26:13
62,31,3,1,180000,180000,2026-07-05 13:43:13,2026-07-05 14:36:13
63,31,25,1,500,500,2026-07-05 13:43:13,2026-07-05 14:32:13
