sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
254,121,14,1,35000,35000,2026-07-24 03:17:49,2026-07-24 03:56:49
255,121,11,1,500,500,2026-07-24 03:17:49,2026-07-24 03:44:49
256,121,13,1,45000,45000,2026-07-24 03:17:49,2026-07-24 03:52:49
257,122,18,1,800,800,2026-07-24 02:06:41,2026-07-24 02:10:41
258,122,5,1,190000,190000,2026-07-24 02:06:41,2026-07-24 02:46:41
259,123,13,1,45000,45000,2026-07-24 01:58:31,2026-07-24 02:43:31
260,123,22,1,900,900,2026-07-24 01:58:31,2026-07-24 02:02:31
261,123,24,3,700,2100,2026-07-24 01:58:31,2026-07-24 02:18:31
262,124,13,1,45000,45000,2026-07-24 00:22:22,2026-07-24 00:24:22
263,124,18,1,800,800,2026-07-24 00:22:22,2026-07-24 00:32:22
264,125,7,1,8000,8000,2026-07-24 21:08:00,2026-07-24 21:55:00
265,125,14,1,35000,35000,2026-07-24 21:08:00,2026-07-24 21:52:00
266,126,20,2,15000,30000,2026-07-24 18:46:06,2026-07-24 18:56:06
267,126,21,2,600,1200,2026-07-24 18:46:06,2026-07-24 19:12:06
268,126,11,1,500,500,2026-07-24 18:46:06,2026-07-24 19:08:06
269,127,7,1,8000,8000,2026-07-24 09:45:56,2026-07-24 10:26:56
270,127,17,3,12000,36000,2026-07-24 09:45:56,2026-07-24 10:11:56
271,127,16,1,3500,3500,2026-07-24 09:45:56,2026-07-24 09:50:56
