sales_detail_id,sales_id,product_id,quantity,unit_price,amount,created_at,updated_at
316,150,23,3,8000,24000,2026-07-29 03:00:02,2026-07-29 03:56:02
317,150,1,1,280000,280000,2026-07-29 03:00:02,2026-07-29 03:26:02
318,150,28,2,1500,3000,2026-07-29 03:00:02,2026-07-29 03:56:02
319,151,12,1,300,300,2026-07-29 21:13:18,2026-07-29 21:56:18
320,152,28,2,1500,3000,2026-07-29 06:13:53,2026-07-29 06:14:53
321,152,29,3,20000,60000,2026-07-29 06:13:53,2026-07-29 07:13:53
322,153,18,1,800,800,2026-07-29 14:09:22,2026-07-29 14:53:22
323,153,26,2,6000,12000,2026-07-29 14:09:22,2026-07-29 14:55:22
324,153,20,1,15000,15000,2026-07-29 14:09:22,2026-07-29 14:56:22
325,154,16,2,3500,7000,2026-07-29 04:10:40,2026-07-29 04:31:40
326,154,1,1,280000,280000,2026-07-29 04:10:40,2026-07-29 04:54:40
327,155,22,3,900,2700,2026-07-29 08:09:39,2026-07-29 08:57:39
328,155,26,1,6000,6000,2026-07-29 08:09:39,2026-07-29 08:20:39
329,155,13,1,45000,45000,2026-07-29 08:09:39,2026-07-29 08:21:39
